Rk,Name,Salary,Injuries,Games_Played,Points_Per_Game
1,Jimmy Butler,"$48,798,677",Sprained MCL,60,20.8
2,Bam Adebayo,"$34,848,340",Ankle Sprain,71,19.3
3,Tyler Herro,"$29,000,000",Broken Hand,42,20.8
4,Terry Rozier,"$24,924,126",,31,16.4
5,Duncan Robinson,"$19,406,000",,68,12.9
6,Haywood Highsmith,"$5,200,000",,66,6.1
7,Kel'el Ware,"$4,655,040",,0,0
8,Kevin Love,"$3,850,000",,55,8.8
9,Jaime Jaquez Jr.,"$3,685,800",,75,11.9
10,Josh Richardson,"$3,051,153",Shoulder Pain,43,9.9
11,Nikola Jović,"$2,464,200",,46,7.7
12,Alec Burks,"$2,087,519",,0,0
13,Thomas Bryant,"$2,087,51",,38,5.7
